,sqft_above,sqft_basement,sqft_lot15,lat_log,age_house,bedrooms,bathrooms,floors,yr_renovated,waterfront,view,condition,grade,zipcode,price
0,-0.7352157926790681,-0.6492802129161798,-0.2605436971506688,-0.3520529272801384,0.5337347436385569,3.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,98178.0,221900.0
1,0.4608315661919811,0.26120975956789966,-0.18756586139014825,1.1596174498362395,0.6698940338974686,3.0,2.25,2.0,1991.0,0.0,0.0,3.0,7.0,98125.0,538000.0
2,-1.230548537262028,-0.6492802129161798,-0.17204568817410995,1.281097515241918,1.316650662627299,2.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0,98028.0,180000.0
3,-0.8922725165712261,1.422084474485101,-0.2843926630854794,-0.28273651140516076,0.19333651799127777,4.0,3.0,1.0,0.0,0.0,0.0,5.0,7.0,98136.0,604000.0
4,-0.13115147001692207,-0.6492802129161798,-0.19255579887804708,0.4096584877084937,-0.5214997558680085,3.0,2.0,1.0,0.0,0.0,0.0,3.0,8.0,98074.0,510000.0
6,-0.08886696743057183,-0.6492802129161798,-0.21765224918483242,-1.8102169025726838,-0.8278581589505597,3.0,2.25,2.0,0.0,0.0,0.0,3.0,7.0,98003.0,257500.0
8,0.1225555455011793,-0.6492802129161798,-0.19009752085092044,-1.3847915607743857,-1.066136916903655,3.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,98146.0,229500.0
10,-1.1218169591828417,0.0335872664468798,-0.2477019462626938,0.9366723173661784,0.9762524369800197,3.0,2.5,1.0,0.0,0.0,0.0,3.0,8.0,98007.0,662500.0
11,-0.4331836313479951,-0.6492802129161798,-0.001984215700498782,1.40971886083226,1.4868497754509384,2.0,1.0,1.0,0.0,0.0,0.0,4.0,7.0,98115.0,468000.0
12,-0.5056713500674527,-0.6492802129161798,-0.09330740987241208,0.3801159984436986,-0.2151413527854572,3.0,1.0,1.5,0.0,0.0,0.0,4.0,7.0,98028.0,310000.0
13,0.02590525387523592,-0.6492802129161798,-0.2898962706088972,0.7927598255019208,2.43996480726332,3.0,1.75,1.0,0.0,0.0,0.0,4.0,7.0,98074.0,400000.0
14,0.2312871235803656,1.5586579703577128,-0.32108337990826497,0.08238750176372535,-0.24918117535018514,5.0,2.0,1.5,0.0,0.0,0.0,3.0,7.0,98107.0,530000.0
15,0.1225555455011793,-0.6492802129161798,0.046484221222400965,1.207783332035121,-0.7938183363858318,4.0,3.0,2.0,0.0,0.0,3.0,3.0,9.0,98126.0,650000.0
16,-0.22780176164286545,-0.6492802129161798,-0.3100761648614293,0.7553326875679524,1.8612878236629455,3.0,2.0,2.0,0.0,0.0,0.0,3.0,7.0,98019.0,395000.0
17,-0.7110532197725823,-0.6492802129161798,-0.2809070449873147,-1.8160185081866194,1.691088710839306,4.0,1.0,1.5,0.0,0.0,0.0,4.0,7.0,98103.0,485000.0
18,-0.6506467875063677,-0.6492802129161798,-0.1431334033177549,-1.6318654037100493,0.09121705029709401,2.0,1.0,1.0,0.0,0.0,0.0,4.0,7.0,98002.0,189000.0
19,-1.1218169591828417,1.0806507348035712,-0.2851264774219351,1.026586979823325,0.8060533241563802,3.0,1.0,1.0,0.0,0.0,0.0,4.0,7.0,98003.0,230000.0
20,0.6541321494438679,0.9896017375551632,0.27829617010876023,-0.20477227963111153,0.09121705029709401,4.0,1.75,1.0,0.0,0.0,0.0,4.0,7.0,98133.0,385000.0
21,0.5816444307244103,-0.6492802129161798,-0.2108277758557943,-1.6876809050996555,-0.8278581589505597,3.0,2.75,1.0,0.0,0.0,4.0,3.0,9.0,98040.0,2000000.0
22,-0.8681099436647403,-0.6492802129161798,-0.16015789592352742,-1.4941776764174108,-0.4874599333032805,5.0,2.5,2.0,0.0,0.0,0.0,3.0,8.0,98092.0,285000.0
23,0.7991075868827829,-0.6492802129161798,-0.21596447621098427,-1.3449575992224896,-0.4874599333032805,2.0,1.5,1.0,0.0,0.0,0.0,3.0,7.0,98030.0,252700.0
24,-0.09490761065719329,-0.6492802129161798,-0.29521642454820113,-1.8457532768455274,1.0102922595447477,3.0,2.25,2.0,0.0,0.0,0.0,4.0,8.0,98030.0,329000.0
25,-0.046582464844221606,0.9440772389309592,-0.3367503159915944,0.5666953573891547,1.8953276462276736,3.0,2.0,1.5,0.0,0.0,0.0,5.0,6.0,98002.0,233000.0
26,-0.4694274907077239,-0.6492802129161798,-0.3261833895466322,0.44784378998350693,2.099566581616041,3.0,1.75,2.0,0.0,0.0,0.0,3.0,8.0,98119.0,937000.0
27,-1.2063859643555421,1.0123639868672651,-0.2390796278093392,0.9726410101259739,0.7720135015916523,3.0,1.0,1.5,0.0,0.0,0.0,5.0,8.0,98112.0,667000.0
28,0.944083024321698,-0.6492802129161798,-0.24674798762530137,1.0611079494542108,-1.1342165620331108,3.0,1.75,1.0,0.0,0.0,0.0,3.0,7.0,98115.0,438000.0
29,0.642050862990625,-0.6492802129161798,-0.32181719424472066,-0.15064087380065155,-1.100176739468383,4.0,2.5,2.0,0.0,0.0,0.0,3.0,8.0,98052.0,719000.0
30,-0.7231345062258252,-0.6492802129161798,-0.4034173484585958,1.2056267953458224,-1.1682563845978389,3.0,2.5,2.0,0.0,0.0,0.0,3.0,8.0,98027.0,580500.0
31,-0.33653333972205174,1.2172242306761831,-0.2843926630854794,0.8812731543459997,1.4187701303214826,2.0,1.5,3.0,0.0,0.0,0.0,3.0,7.0,98133.0,280000.0
32,-0.8439473707582544,-0.6492802129161798,-0.28145740573965655,0.9287586988792955,1.4187701303214826,4.0,1.75,1.5,0.0,0.0,0.0,4.0,7.0,98117.0,687500.0
